state,title,text,link
Alabama,ACHE Junior & Community College Performing Arts Scholarship Program,"The Alabama Commission on Higher Education (ACHE) offers the Junior & Community College Performing Arts Scholarship Program. Awards are based on demonstrated talent determined through competitive auditions. Awards are not based on financial needs. This award is for full-time students attending public junior and community colleges in Alabama. Contact the financial aid office at any public junior or community college in Alabama to apply. Competitive auditions will also be scheduled as part of the application process. For more information, or to apply, please visit the scholarship provider’s website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ache-junior-and-community-college-performing-arts-scholarship-program
Alabama,JSU Alabama Dr. James Reaves Memorial Scholarship,"The JSU Alabama Dr. James Reaves Memorial Scholarship a deserving junior or senior JSU student. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-dr-james-reaves-memorial-scholarship
Alabama,JSU Alabama Farmers & Merchants Bank of Piedmont Scholarship,"The JSU Farmers & Merchants Bank of Piedmont Scholarship was established for students who have graduated from Piedmont High School. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-farmers-and-merchants-bank-of-piedmont-scholarship
Alabama,JSU Alabama Dr. Perry & Kay Savage Scholarship,"The JSU Alabama Dr. Perry & Kay Savage Scholarship is offered to deserving students who are children of employees of Alabama Orthopedic & Spine Center. Students from Piedmont, Alabama will have a second preference in the award of this scholarship. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-dr-perry-and-kay-savage-scholarship
Alabama,JSU Alabama Curley Memorial Scholarship,"The JSU Alabama Curley Memorial Scholarship is for full-time juniors or seniors majoring in education. For more information or to apply, please visit the scholarship provider’s website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-curley-memorial-scholarship
Alabama,JSU Alabama Cole (Leone) Memorial Scholarship,"The Leone Cole Memorial Scholarship was established by the Jacksonville Book Club in memory of Ms. Leone Pruett Cole for full-time incoming freshman; based on academics and leadership. Mrs. Cole, former wife of JSU President Dr. Houston Cole, died in 1949. The scholarship will be offered to incoming freshmen. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-cole-leone-memorial-scholarship
Alabama,JSU Alabama Charley Pell Scholarship,"To be eligible for the JSU Alabama Charley Pell Scholarship, applicants must be a child of a former player coached by Charley Pell at JSU Alabama. For more information or to apply, please visit the scholarship provider’s website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-charley-pell-scholarship
Alabama,Climate Adaptation Scientists of Tomorrow Program,"The global climate is changing rapidly, already impacting both human and natural systems. Over the next few decades, changes in temperature, precipitation, and climatic variability are expected to drive even more change. As impacts become more pervasive, human and natural systems will accelerate adaptation. To face these challenges, the world needs a diverse group of leaders versed in the challenges of climate adaptation, aware of the multi-disciplinary nature of impacts, representative of the nation, capable of strong communication, and interested in policy-relevant science.
ADVERTISEMENT

The goals of the Climate Adaptation Scientists of Tomorrow Program are to increase diversity, equity, and inclusion in Science, Technology, Engineering, and Math (STEM), cultivate the next generation of climate scientists and foster climate science programs at Minority Serving Institutions (Historically Black Colleges and Universities, Tribal College and Universities, Hispanic-Serving Institutions, Asian American and Pacific Islander Serving Institutions)

Undergraduate research experience, features and benefits include building your climate science skills, training, and development for two years, joining a cohort of 12 undergraduate students with common interests across the U.S., leading an undergraduate research project in your area of interest at a leading university, building strong professional partnerships with a scientist-mentor, graduate students, and faculty scholars, engaging in university programs to foster diversity, equity, and inclusion and participating in trainings to prepare for a career in climate adaptation science.

Participants must be enrolled as a student, full-time, at an accredited academic institution (community college, college, or university) and must be rising sophomores or juniors. Participants must be in good academic standing (GPA 3.0 or higher). Students from populations historically underrepresented in the sciences are especially encouraged to apply.

Program provides 10 weeks of room and board for two summers, a stipend for two summers (depends on location, minimum of $3,500 per summer), funds for round-trip travel to site. Medical/health insurance is not provided.

Full dedication to learn and build skills in two, 10-week summer research experiences. Regular and meaningful interaction with your mentor, clarifying responsibilities, expectation, timelines, and communication preferences. Active participation in development and training events: multiple during the summer programs and two during the academic year. Foster a culture of respect, integrity, collaboration, and inclusion. Produce a final report and deliver an oral presentation of your research and program experience. Participate in program evaluations during and after program completion and maintain at least a 3.0 GPA for the duration of the program.

Program Locations include Auburn University, Louisiana State University, University of Colorado, Boulder and University of Massachusetts Amherst.",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/climate-adaptation-scientists-of-tomorrow-program
Alabama,JSU Alabama Bob & Lou Kennamer Scholarship,"The JSU Alabama Bob & Lou Kennamer Scholarship is offered to deserving students from Cleburne County High School, Ranburne High School, Scottsboro High School or Kate Duncan Smith DAR (Daughters of the American Revoltion) School (Grant, AL). Students must be in the top 50% of their high school, have minimum GPA of 3.0, and demonstrate financial need. For more information or to apply, please visit the scholarship provider’s website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-bob-and-lou-kennamer-scholarship
Alabama,JSU Alabama Agnes Manes Scholarship,"The Manes Memorial Fund was established through a trust agreement from the Agnes McIntyre Manes foundation to assist deserving students. For more information or to apply, please visit the scholarship provider’s website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-agnes-manes-scholarship
